detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
AKAZE, BRIEF, 5, 0.0389204, 1347, 164, 7.68804, 11.4138, 0.000850709, 134, 0.0397711
AKAZE, BRIEF, 6, 0.0438688, 1363, 173, 7.73879, 11.7812, 0.00087954, 146, 0.0447484
AKAZE, BRIEF, 7, 0.0393082, 1331, 175, 7.82613, 12.3183, 0.000493283, 150, 0.0398015
AKAZE, BRIEF, 8, 0.0378723, 1358, 177, 7.81556, 12.2047, 0.000846252, 148, 0.0387185
AKAZE, BRIEF, 9, 0.0416015, 1331, 179, 7.88576, 12.9699, 0.000935904, 152, 0.0425374
AKAZE, ORB, 0, 0.040585, 1351, 166, 7.72918, 15.3807, 0.00573279, 0, 0.0463178
AKAZE, ORB, 1, 0.0406156, 1327, 157, 7.49021, 12.4225, 0.00565654, 130, 0.0462721
AKAZE, ORB, 2, 0.0390995, 1311, 161, 7.45212, 12.6221, 0.00560733, 129, 0.0447069
AKAZE, ORB, 3, 0.0420277, 1351, 155, 7.57523, 11.9644, 0.00580371, 128, 0.0478314
AKAZE, ORB, 4, 0.0412538, 1360, 163, 7.73319, 11.8184, 0.00604974, 115, 0.0473035
AKAZE, ORB, 5, 0.042874, 1347, 164, 7.68804, 11.4138, 0.00931154, 132, 0.0521855
AKAZE, ORB, 6, 0.0363531, 1363, 173, 7.73879, 11.7812, 0.00572279, 132, 0.0420759
AKAZE, ORB, 7, 0.0391851, 1331, 175, 7.82613, 12.3183, 0.00667789, 137, 0.045863
AKAZE, ORB, 8, 0.0413563, 1358, 177, 7.81556, 12.2047, 0.00594918, 137, 0.0473055
AKAZE, ORB, 9, 0.0392483, 1331, 179, 7.88576, 12.9699, 0.0057552, 146, 0.0450035
AKAZE, FREAK, 0, 0.033383, 1351, 166, 7.72918, 15.3807, 0.022386, 0, 0.0557689
AKAZE, FREAK, 1, 0.0386315, 1327, 157, 7.49021, 12.4225, 0.022593, 126, 0.0612245
AKAZE, FREAK, 2, 0.0375053, 1311, 161, 7.45212, 12.6221, 0.0223502, 129, 0.0598554
AKAZE, FREAK, 3, 0.0364205, 1351, 155, 7.57523, 11.9644, 0.0225384, 127, 0.0589589
AKAZE, FREAK, 4, 0.0372773, 1360, 163, 7.73319, 11.8184, 0.0210247, 121, 0.058302
AKAZE, FREAK, 5, 0.0381467, 1347, 164, 7.68804, 11.4138, 0.0230684, 122, 0.0612151
AKAZE, FREAK, 6, 0.0374533, 1363, 173, 7.73879, 11.7812, 0.0204695, 133, 0.0579228
AKAZE, FREAK, 7, 0.0315224, 1331, 175, 7.82613, 12.3183, 0.0202988, 144, 0.0518213
AKAZE, FREAK, 8, 0.0339383, 1358, 177, 7.81556, 12.2047, 0.0204475, 147, 0.0543858
AKAZE, FREAK, 9, 0.0346994, 1331, 179, 7.88576, 12.9699, 0.0211647, 138, 0.0558641
AKAZE, AKAZE, 0, 0.0316215, 1351, 166, 7.72918, 15.3807, 0.0250657, 0, 0.0566872
AKAZE, AKAZE, 1, 0.0363504, 1327, 157, 7.49021, 12.4225, 0.0294275, 138, 0.0657779
AKAZE, AKAZE, 2, 0.0372447, 1311, 161, 7.45212, 12.6221, 0.0336317, 138, 0.0708764
AKAZE, AKAZE, 3, 0.0404374, 1351, 155, 7.57523, 11.9644, 0.0324398, 133, 0.0728772
AKAZE, AKAZE, 4, 0.0349352, 1360, 163, 7.73319, 11.8184, 0.0299285, 127, 0.0648637
AKAZE, AKAZE, 5, 0.0367569, 1347, 164, 7.68804, 11.4138, 0.0327043, 129, 0.0694612
AKAZE, AKAZE, 6, 0.0330073, 1363, 173, 7.73879, 11.7812, 0.0260959, 146, 0.0591032
AKAZE, AKAZE, 7, 0.0402589, 1331, 175, 7.82613, 12.3183, 0.0330154, 147, 0.0732744
AKAZE, AKAZE, 8, 0.0409356, 1358, 177, 7.81556, 12.2047, 0.0340206, 151, 0.0749562
AKAZE, AKAZE, 9, 0.0409056, 1331, 179, 7.88576, 12.9699, 0.0316671, 150, 0.0725727
AKAZE, SIFT, 0, 0.0405273, 1351, 166, 7.72918, 15.3807, 0.012893, 0, 0.0534203
AKAZE, SIFT, 1, 0.0377034, 1327, 157, 7.49021, 12.4225, 0.0167701, 148, 0.0544735
AKAZE, SIFT, 2, 0.0376439, 1311, 161, 7.45212, 12.6221, 0.013331, 143, 0.0509749
AKAZE, SIFT, 3, 0.0404324, 1351, 155, 7.57523, 11.9644, 0.0166352, 139, 0.0570677
AKAZE, SIFT, 4, 0.0379213, 1360, 163, 7.73319, 11.8184, 0.0128336, 140, 0.0507548
AKAZE, SIFT, 5, 0.0389301, 1347, 164, 7.68804, 11.4138, 0.0169329, 143, 0.055863
AKAZE, SIFT, 6, 0.0362807, 1363, 173, 7.73879, 11.7812, 0.0138118, 151, 0.0500926
AKAZE, SIFT, 7, 0.0399005, 1331, 175, 7.82613, 12.3183, 0.0169787, 157, 0.0568792
AKAZE, SIFT, 8, 0.0366023, 1358, 177, 7.81556, 12.2047, 0.0140018, 159, 0.0506042
AKAZE, SIFT, 9, 0.0410426, 1331, 179, 7.88576, 12.9699, 0.0132214, 159, 0.054264
SIFT, BRISK, 0, 0.0717248, 1438, 138, 4.98472, 35.1615, 0.155551, 0, 0.227276
SIFT, BRISK, 1, 0.0726522, 1371, 132, 5.08981, 38.1059, 0.155557, 64, 0.228209
SIFT, BRISK, 2, 0.0728986, 1380, 124, 4.93926, 36.2424, 0.154865, 66, 0.227764
SIFT, BRISK, 3, 0.0716062, 1335, 137, 4.73123, 27.4604, 0.153766, 62, 0.225372
SIFT, BRISK, 4, 0.0718716, 1305, 134, 4.7196, 30.3653, 0.159331, 66, 0.231202
SIFT, BRISK, 5, 0.0709129, 1369, 140, 4.68398, 31.0978, 0.141566, 59, 0.212479
SIFT, BRISK, 6, 0.0742532, 1396, 137, 5.40798, 42.4276, 0.140399, 64, 0.214652
SIFT, BRISK, 7, 0.0741978, 1382, 148, 4.62187, 26.4553, 0.142879, 64, 0.217077
SIFT, BRISK, 8, 0.0735079, 1463, 159, 5.51997, 44.4893, 0.14077, 67, 0.214277
SIFT, BRISK, 9, 0.0715342, 1422, 137, 5.62509, 44.638, 0.140155, 80, 0.21169
SIFT, BRIEF, 0, 0.0713048, 1438, 138, 4.98472, 35.1615, 0.000654767, 0, 0.0719595
SIFT, BRIEF, 1, 0.0740849, 1371, 132, 5.08981, 38.1059, 0.000658163, 86, 0.074743
SIFT, BRIEF, 2, 0.0741497, 1380, 124, 4.93926, 36.2424, 0.000610377, 78, 0.0747601
SIFT, BRIEF, 3, 0.075745, 1335, 137, 4.73123, 27.4604, 0.000682365, 76, 0.0764274
SIFT, BRIEF, 4, 0.0733181, 1305, 134, 4.7196, 30.3653, 0.000663061, 85, 0.0739812
SIFT, BRIEF, 5, 0.0713366, 1369, 140, 4.68398, 31.0978, 0.000666038, 69, 0.0720026
SIFT, BRIEF, 6, 0.0731057, 1396, 137, 5.40798, 42.4276, 0.000654548, 74, 0.0737603
SIFT, BRIEF, 7, 0.0727881, 1382, 148, 4.62187, 26.4553, 0.000683774, 76, 0.0734719
SIFT, BRIEF, 8, 0.0769449, 1463, 159, 5.51997, 44.4893, 0.00069986, 70, 0.0776448
SIFT, BRIEF, 9, 0.0720825, 1422, 137, 5.62509, 44.638, 0.00066445, 88, 0.0727469
SIFT, FREAK, 0, 0.0727728, 1438, 138, 4.98472, 35.1615, 0.0204394, 0, 0.0932122
SIFT, FREAK, 1, 0.0734114, 1371, 132, 5.08981, 38.1059, 0.0208847, 65, 0.0942962
SIFT, FREAK, 2, 0.0717485, 1380, 124, 4.93926, 36.2424, 0.020577, 72, 0.0923255
SIFT, FREAK, 3, 0.0712782, 1335, 137, 4.73123, 27.4604, 0.0206858, 64, 0.0919639
SIFT, FREAK, 4, 0.0740363, 1305, 134, 4.7196, 30.3653, 0.0205107, 66, 0.094547
SIFT, FREAK, 5, 0.0734599, 1369, 140, 4.68398, 31.0978, 0.0207154, 59, 0.0941753
SIFT, FREAK, 6, 0.0763126, 1396, 137, 5.40798, 42.4276, 0.0205917, 59, 0.0969043
SIFT, FREAK, 7, 0.0725428, 1382, 148, 4.62187, 26.4553, 0.0223218, 64, 0.0948647
SIFT, FREAK, 8, 0.0734207, 1463, 159, 5.51997, 44.4893, 0.0213352, 65, 0.0947559
SIFT, FREAK, 9, 0.0734987, 1422, 137, 5.62509, 44.638, 0.0211753, 79, 0.094674
SIFT, SIFT, 0, 0.0735182, 1438, 138, 4.98472, 35.1615, 0.046099, 0, 0.119617
SIFT, SIFT, 1, 0.0537303, 1371, 132, 5.08981, 38.1059, 0.0454487, 94, 0.099179
SIFT, SIFT, 2, 0.0717613, 1380, 124, 4.93926, 36.2424, 0.0452081, 95, 0.116969
SIFT, SIFT, 3, 0.0545204, 1335, 137, 4.73123, 27.4604, 0.0468827, 89, 0.101403
SIFT, SIFT, 4, 0.0551398, 1305, 134, 4.7196, 30.3653, 0.0446808, 107, 0.0998206
SIFT, SIFT, 5, 0.0722827, 1369, 140, 4.68398, 31.0978, 0.0451957, 99, 0.117478
SIFT, SIFT, 6, 0.0553992, 1396, 137, 5.40798, 42.4276, 0.0447372, 93, 0.100136
SIFT, SIFT, 7, 0.0544204, 1382, 148, 4.62187, 26.4553, 0.045978, 94, 0.100398
SIFT, SIFT, 8, 0.0716936, 1463, 159, 5.51997, 44.4893, 0.0456035, 115, 0.117297
SIFT, SIFT, 9, 0.055413, 1422, 137, 5.62509, 44.638, 0.0457082, 114, 0.101121
