detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
HARRIS, BRIEF, 0, 0.012484, 126, 22, 6, 0, 0.000383728, 0, 0.0128677
HARRIS, BRIEF, 1, 0.012572, 124, 23, 6, 0, 0.000379482, 20, 0.0129514
HARRIS, BRIEF, 2, 0.0130719, 146, 27, 6, 0, 0.000404314, 22, 0.0134762
HARRIS, BRIEF, 3, 0.0134001, 161, 27, 6, 0, 0.000405123, 26, 0.0138053
HARRIS, BRIEF, 4, 0.0130859, 209, 33, 6, 0, 0.000228262, 25, 0.0133142
HARRIS, BRIEF, 5, 0.00662292, 166, 30, 6, 0, 0.000244486, 29, 0.00686741
HARRIS, BRIEF, 6, 0.00643273, 144, 28, 6, 0, 0.000219056, 24, 0.00665178
HARRIS, BRIEF, 7, 0.00856918, 279, 37, 6, 0, 0.000230906, 25, 0.00880008
HARRIS, BRIEF, 8, 0.00681306, 151, 31, 6, 0, 0.000206955, 32, 0.00702001
HARRIS, BRIEF, 9, 0.00630537, 132, 26, 6, 0, 0.000193247, 24, 0.00649861
HARRIS, ORB, 0, 0.00625218, 126, 22, 6, 0, 0.00212776, 0, 0.00837993
HARRIS, ORB, 1, 0.00622244, 124, 23, 6, 0, 0.00214648, 19, 0.00836892
HARRIS, ORB, 2, 0.00642133, 146, 27, 6, 0, 0.00212003, 20, 0.00854136
HARRIS, ORB, 3, 0.00653252, 161, 27, 6, 0, 0.00215406, 25, 0.00868659
HARRIS, ORB, 4, 0.0070666, 209, 33, 6, 0, 0.00216452, 25, 0.00923111
HARRIS, ORB, 5, 0.00656731, 166, 30, 6, 0, 0.00214225, 29, 0.00870955
HARRIS, ORB, 6, 0.00611979, 144, 28, 6, 0, 0.00213574, 25, 0.00825553
HARRIS, ORB, 7, 0.00855509, 279, 37, 6, 0, 0.00224893, 26, 0.010804
HARRIS, ORB, 8, 0.00683114, 151, 31, 6, 0, 0.0021603, 33, 0.00899143
HARRIS, ORB, 9, 0.00654392, 132, 26, 6, 0, 0.00220737, 26, 0.0087513
HARRIS, FREAK, 0, 0.00630542, 126, 22, 6, 0, 0.0195607, 0, 0.0258661
HARRIS, FREAK, 1, 0.00620738, 124, 23, 6, 0, 0.0201133, 17, 0.0263207
HARRIS, FREAK, 2, 0.00617167, 146, 27, 6, 0, 0.0195576, 20, 0.0257292
HARRIS, FREAK, 3, 0.00635217, 161, 27, 6, 0, 0.0199484, 21, 0.0263006
HARRIS, FREAK, 4, 0.00710415, 209, 33, 6, 0, 0.0202116, 19, 0.0273157
HARRIS, FREAK, 5, 0.00647424, 166, 30, 6, 0, 0.019992, 22, 0.0264662
HARRIS, FREAK, 6, 0.00626289, 144, 28, 6, 0, 0.01987, 27, 0.0261329
